NameOfStation,IncomingPassengers,OutgoingPassengers
Авиамоторная,15809737,16806633
Автозаводская,14802416,15623871
Академическая,11595003,11683305
Александровский сад,6704109,6790020
Алексеевская,11082282,11310666
Алма-Атинская,4637803,4500420
Алтуфьево,12737544,12454461
Аминьевская,9426693,9286491
Андроновка,2835677,2841277
Аннино,8452667,7824871
Арбатская,11954601,12359648
Аэропорт,12193044,12440683
Аэропорт Внуково,3498903,2315875
Бабушкинская,16516379,16306986
Багратионовская,5554803,5566451
Балтийская,3963986,4282866
Баррикадная,8414646,8651591
Бауманская,18635990,19482986
Беговая,11521420,11629874
Белокаменная,593137,619397
Беломорская,9763461,9293821
Белорусская,26634802,25510394
Беляево,12503995,12658962
Бибирево,9632228,9609733
Библиотека имени Ленина,0,0
Битцевский парк,884788,640499
Борисово,3841245,3781694
Боровицкая,2378025,2505108
Боровское шоссе,1918356,1809152
Ботанический сад,12002368,13550738
Братиславская,13234614,13101511
Бульвар Дмитрия Донского,19923615,19073368
Бульвар Рокоссовского,11923084,11973345
Бульвар адмирала Ушакова,3906063,3852203
Бунинская аллея,7482127,7282931
Бутырская,5516816,5663887
ВДНХ,28351886,26664639
Варшавская,9334742,9268132
Верхние Котлы,5441908,5618933
Верхние Лихоборы,4930329,4876631
Владыкино,8307236,9787474
Водный стадион,14201984,14233746
Войковская,16251450,16366008
Волгоградский проспект,7472764,7608207
Волжская,5382441,5442494
Волоколамская,6719576,6505102
Воробьёвы горы,4522542,4375487
Воронцовская,5275840,5538359
Выставочный центр,398408,344649
Выхино,22190759,21323066
Генерала Тюленева,560870,557684
Говорово,4294626,4141852
Давыдково,4570451,4615451
Деловой центр,17406892,17460406
Динамо,9964366,10113111
Дмитровская,12264627,12558310
Добрынинская,7420092,7770543
Домодедовская,21077500,19749176
Достоевская,4578246,4756225
Дубровка,8711877,9150930
Жулебино,8678374,8480940
ЗИЛ,4023925,4223739
Зорге,1771186,1850416
Зюзино,8139294,8236669
Зябликово,3836987,3698376
Измайлово,3541571,3754839
Измайловская,6402941,6449610
Калужская,8847362,9276650
Кантемировская,10930128,10840915
Каховская,5920734,6139859
Каширская,10971240,11112009
Киевская,25648796,24471282
Китай-город,21380284,22065265
Кленовый бульвар,2801991,2891197
Кожуховская,7188359,7456689
Коломенская,14031503,14107627
Коммунарка,7751,9742
Комсомольская,42645183,34526467
Коньково,9707680,9676135
Коптево,5559435,5787953
Корниловская,12091,12162
Косино,1923330,1860061
Котельники,20319967,18478222
Красногвардейская,6596738,6368388
Краснопресненская,7957468,8080049
Красносельская,7035502,7207647
Красные ворота,8465374,8729339
Крестьянская застава,2789298,2928230
Кропоткинская,8899166,9251176
Крылатское,9796586,9624641
Крымская,3585075,3751723
Кузнецкий мост,7780604,8268951
Кузьминки,18849878,18856635
Кунцевская,13575875,13493941
Курская,24541764,23285340
Кутузовская,10272175,11041538
Ленинский проспект,12644610,14381432
Лермонтовский проспект,6273351,6041457
Лесопарковая,2752094,2634352
Лефортово,4511094,4628667
Лианозово,5546927,5324324
Лихоборы,5190799,5255395
Локомотив,3920375,3980923
Ломоносовский проспект,5074988,5091019
Лубянка,9575708,9802189
Лужники,3684401,4213198
Лухмановская,6677983,6559593
Люблино,14664592,14187009
Марксистская,7694902,8028457
Марьина Роща,2884183,2945448
Марьина роща,8691018,8939731
Марьино,10538129,10399085
Маяковская,12696489,13194721
Медведково,18765915,18069698
Менделеевская,8641207,9141539
Минская,3028133,3049406
Митино,8791012,8422354
Мичуринский проспект,5404548,5500363
Мнёвники,287068,262295
Молодёжная,16001962,15759205
Москва-Сити,9058920,9639710
Мякинино,5909724,5656818
Нагатинская,13253140,13498293
Нагатинский Затон,1851660,1875239
Нагорная,6054392,6176129
Народное Ополчение,8344050,8327690
Нахимовский проспект,6892736,6980679
Некрасовка,19829233,19480801
Нижегородская,18635429,20391665
Новаторская,6191126,6238117
Новогиреево,22044555,21264778
Новокосино,18901062,18340818
Новокузнецкая,11037420,11624137
Новомосковская,5667085,5571724
Новопеределкино,5784642,5510771
Новослободская,10475188,11145986
Новохохловская,2265028,2318751
Новоясеневская,2294467,2214892
Новые Черёмушки,11683506,11884655
Озёрная,6278189,6185006
Окружная,8802621,9123895
Окская,3540592,3620689
Октябрьская,13538575,14169820
Октябрьское поле,13515224,13731158
Ольховая,3729930,3526354
Орехово,6160043,6006948
Отрадное,16637276,16719139
Охотный ряд,19046284,18678271
Павелецкая,29915356,28430204
Панфиловская,2319115,2444802
Парк Победы,7600390,7459535
Парк культуры,14686631,15381521
Партизанская,7127272,6681342
Первомайская,11720123,11590108
Перово,13056465,12917003
Петровский парк,6518112,6776932
Петровско-Разумовская,7653908,7344085
Печатники,8571631,8576430
Пионерская,2045936,1972347
Планерная,13951567,13459574
Площадь Гагарина,4563366,5501953
Площадь Ильича,6733939,6778132
Площадь Революции,12223995,12178112
Полежаевская,9706286,9929034
Полянка,5810085,6119533
Потапово,1757868,1719372
Пражская,16555462,16538843
Преображенская площадь,14787398,14953056
Прокшино,2940756,2885599
Пролетарская,10866210,11028126
Проспект Вернадского,11164967,11413066
Проспект Мира,15410349,15983550
Профсоюзная,10735729,10994582
Пушкинская,15391841,16106770
Пыхтино,3507706,3284018
Пятницкое шоссе,6322581,5983261
Раменки,6680598,6605538
Рассказовка,6474117,6190757
Речной вокзал,9296859,9042614
Рижская,6905687,7093230
Римская,5816978,5928569
Ростокино,11330990,11331989
Румянцево,4257179,4268609
Рязанский проспект,9835811,9905208
Савёловская,18599510,18567712
Саларьево,14155474,13176871
Свиблово,8310324,8298326
Севастопольская,2788130,2883686
Селигерская,10400973,10162011
Семёновская,10423094,10718485
Серпуховская,7804328,8233803
Славянский бульвар,18996730,18327397
Смоленская,13428227,13890656
Сокол,12546913,12694356
Соколиная Гора,2293864,2415025
Сокольники,12683076,13006092
Солнцево,7125287,6892370
Спартак,2957390,2900379
Спортивная,7902329,8610525
Сретенский бульвар,2811104,3017573
Стахановская,2987670,3079352
Стрешнево,6268061,6395369
Строгино,10151685,9881813
Студенческая,2124948,2126861
Сухаревская,7127574,7503808
Сходненская,16956857,16623778
Таганская,13893364,14413522
Тверская,0,0
Театральная,0,0
Текстильщики,22822470,25378957
Телецентр,141902,124544
Терехово,2406216,2569639
Технопарк,7774170,7852502
Тимирязевская,8707249,8562701
Третьяковская,10540784,11080316
Тропарёво,6472598,6382330
Трубная,6333158,6707027
Тульская,11908271,12297111
Тургеневская,7104450,7522130
Тушинская,15243587,14598242
Тютчевская,323705,311506
Тёплый стан,21011888,20645519
Угрешская,1848391,1951249
Улица 1905 года,15180512,15783269
Улица Академика Королёва,62826,55920
Улица Горчакова,3306593,3234595
Улица Милашенкова,74266,66133
Улица Сергея Эйзенштейна,87429,76802
Улица Скобелевская,6750016,6453261
Улица Старокачаловская,0,0
Улица академика Янгеля,9564698,9352973
Университет,11552868,11709488
Университет Дружбы Народов,1245147,1290225
Физтех,4138527,3936505
Филатов луг,7529763,7336930
Фили,6584096,6562059
Филёвский парк,3291616,3178305
Фонвизинская,4814516,4781069
Фрунзенская,10353223,10903609
Ховрино,16843551,15095163
Хорошёво,2510637,2671865
Хорошёвская,4898429,5037174
ЦСКА,12574092,12900531
Царицыно,20681256,19703798
Цветной бульвар,7946701,8328651
Черкизовская,6768663,5918510
Чертановская,11177400,11143065
Чеховская,7568291,8055467
Чистые пруды,7340902,7665235
Чкаловская,7205639,7421659
Шаболовская,8757766,9212306
Шелепиха,6152618,6367328
Шипиловская,4785376,4770062
Шоссе Энтузиастов,9759521,10485013
Щукинская,14740670,14666970
Щёлковская,25104983,23705686
Электрозаводская,18134251,20055653
Юго-Восточная,4849615,4911081
Юго-Западная,18541254,18819195
Южная,8034606,7968476
Ясенево,10696850,10550298
Яхромская,6312744,6162648
улица Дмитриевского,3421243,3421946
