station,latitude,longitude
Бульвар Рокоссовского,55.8148,37.7342
Черкизовская,55.8038,37.7448
Преображенская площадь,55.7963,37.7151
Сокольники,55.7888,37.6802
Красносельская,55.7801,37.6673
Комсомольская,55.7753,37.6562
Красные Ворота,55.769,37.6487
Чистые пруды,55.7657,37.6388
Лубянка,55.7597,37.6272
Охотный Ряд,55.7577,37.6166
Библиотека имени Ленина,55.7512,37.61
Кропоткинская,55.7453,37.6037
Парк культуры,55.7356,37.5943
Фрунзенская,55.7267,37.5786
Спортивная,55.7233,37.5639
Воробьёвы горы,55.7103,37.5592
Университет,55.6926,37.5333
Проспект Вернадского,55.6771,37.506
Юго-Западная,55.6637,37.4833
Тропарёво,55.6459,37.4725
Румянцево,55.633,37.4419
Саларьево,55.6219,37.4242
Филатов Луг,55.601367,37.407645
Прокшино,55.586242,37.433802
Ольховая,55.568643,37.459332
Новомосковская,55.560396,37.46822
Потапово,55.553,37.493
Ховрино,55.878764,37.481493
Беломорская,55.8658,37.4764
Речной вокзал,55.8549,37.4761
Водный стадион,55.8398,37.4867
Войковская,55.819,37.498
Сокол,55.8051,37.5153
Аэропорт,55.8003,37.5329
Динамо,55.7897,37.558
Белорусская,55.7767,37.5835
Маяковская,55.7701,37.5958
Тверская,55.7647,37.6065
Театральная,55.7578,37.619
Новокузнецкая,55.7415,37.6295
Павелецкая,55.7305,37.6377
Автозаводская,55.7074,37.6576
Технопарк,55.693861,37.664379
Коломенская,55.6785,37.6638
Каширская,55.6551,37.6487
Кантемировская,55.6358,37.6564
Царицыно,55.6214,37.6694
Орехово,55.6132,37.6949
Домодедовская,55.6108,37.7186
Красногвардейская,55.6137,37.7444
Алма-Атинская,55.6326,37.766
Пятницкое шоссе,55.8563,37.3544
Митино,55.8457,37.3622
Волоколамская,55.8354,37.3822
Мякинино,55.8252,37.3852
Строгино,55.8038,37.4031
Крылатское,55.7567,37.4081
Молодёжная,55.7408,37.4168
Кунцевская,55.7307,37.4459
Славянский бульвар,55.7296,37.4706
Парк Победы,55.7362,37.5182
Киевская,55.744339,37.565509
Смоленская,55.7474,37.5823
Арбатская,55.7522,37.6061
Площадь Революции,55.7566,37.6216
Курская,55.758039,37.658204
Бауманская,55.773,37.6806
Электрозаводская,55.7817,37.7037
Семёновская,55.7833,37.7208
Партизанская,55.7886,37.7506
Измайловская,55.7878,37.7814
Первомайская,55.7948,37.7993
Щёлковская,55.8094,37.7986
Пионерская,55.736,37.4671
Филёвский парк,55.7396,37.4833
Багратионовская,55.7438,37.4977
Фили,55.746,37.515
Кутузовская,55.7399,37.5344
Студенческая,55.7388,37.5483
Москва-Сити,55.7483,37.5339
Деловой центр,55.749976,37.541074
Киевская,55.7436,37.5655
Смоленская,55.7488,37.5825
Арбатская,55.7518,37.6007
Александровский сад,55.752433,37.60879
Парк культуры,55.7357,37.5915
Октябрьская,55.7297,37.6091
Добрынинская,55.7291,37.6243
Павелецкая,55.7318,37.6379
Таганская,55.7418,37.6517
Курская,55.757,37.6595
Комсомольская,55.7748,37.6549
Проспект Мира,55.7798,37.6318
Новослободская,55.7799,37.6028
Белорусская,55.7764,37.5844
Краснопресненская,55.7613,37.5774
Киевская,55.744654,37.565591
Медведково,55.8872,37.6613
Бабушкинская,55.8694,37.6644
Свиблово,55.8552,37.6527
Ботанический сад,55.8449,37.6383
ВДНХ,55.8211,37.6411
Алексеевская,55.8088,37.639
Рижская,55.7936,37.6362
Проспект Мира,55.7812,37.6318
Сухаревская,55.7733,37.6319
Тургеневская,55.7661,37.6374
Китай-город,55.7553,37.6333
Третьяковская,55.7412,37.6274
Октябрьская,55.7306,37.6112
Шаболовская,55.7198,37.6083
Ленинский проспект,55.7077,37.5861
Академическая,55.6877,37.5733
Профсоюзная,55.678,37.5627
Новые Черёмушки,55.6702,37.5544
Калужская,55.6571,37.5405
Беляево,55.6428,37.5257
Коньково,55.6333,37.5188
Тёплый Стан,55.6191,37.5082
Ясенево,55.6063,37.5333
Новоясеневская,55.601,37.5541
Планерная,55.8607,37.4364
Сходненская,55.8505,37.4396
Тушинская,55.8267,37.4368
Спартак,55.818248,37.435751
Щукинская,55.8086,37.4641
Октябрьское Поле,55.7935,37.4935
Полежаевская,55.7775,37.5192
Беговая,55.7738,37.5468
Улица 1905 года,55.765,37.5613
Баррикадная,55.7612,37.5795
Пушкинская,55.765,37.6079
Кузнецкий Мост,55.7606,37.6259
Таганская,55.7402,37.6522
Пролетарская,55.7319,37.6659
Волгоградский проспект,55.7253,37.6869
Текстильщики,55.7088,37.7316
Кузьминки,55.7056,37.7656
Рязанский проспект,55.717,37.7933
Выхино,55.7156,37.8181
Лермонтовский проспект,55.7013,37.8525
Жулебино,55.6855,37.8563
Котельники,55.6743,37.8582
Марксистская,55.7411,37.6543
Площадь Ильича,55.7472,37.6824
Авиамоторная,55.7524,37.7191
Шоссе Энтузиастов,55.7576,37.75
Перово,55.7511,37.7866
Новогиреево,55.7517,37.8166
Новокосино,55.7451,37.8638
Деловой центр,55.7491,37.5395
Минская,55.724818,37.496675
Ломоносовский проспект,55.707119,37.516196
Раменки,55.697574,37.498477
Мичуринский проспект,55.689484,37.483044
Озёрная,55.670452,37.448459
Говорово,55.659548,37.417254
Солнцево,55.649578,37.391081
Боровское шоссе,55.647746,37.370396
Новопеределкино,55.639645,37.355248
Рассказовка,55.634053,37.335158
Пыхтино,55.625,37.298
Аэропорт Внуково,55.607087,37.287702
Алтуфьево,55.898,37.587
Бибирево,55.8838,37.6034
Отрадное,55.8633,37.6047
Владыкино,55.8473,37.5899
Петровско-Разумовская,55.8351,37.5745
Тимирязевская,55.8176,37.5765
Дмитровская,55.8069,37.5817
Савёловская,55.7927,37.5885
Менделеевская,55.781,37.6011
Цветной бульвар,55.7708,37.6187
Чеховская,55.764821,37.609087
Боровицкая,55.7511,37.6072
Полянка,55.7379,37.618
Серпуховская,55.728,37.6246
Тульская,55.7087,37.6229
Нагатинская,55.683,37.6224
Нагорная,55.6724,37.6104
Нахимовский проспект,55.6627,37.6055
Севастопольская,55.6524,37.5984
Чертановская,55.6405,37.6067
Южная,55.6224,37.609
Пражская,55.6124,37.6044
Улица Академика Янгеля,55.5949,37.6004
Аннино,55.5828,37.5966
Бульвар Дмитрия Донского,55.5693,37.5769
Физтех,55.9216,37.5465
Лианозово,55.8989,37.5446
Яхромская,55.8799,37.5454
Селигерская,55.8665,37.5471
Верхние Лихоборы,55.856,37.561
Окружная,55.846096,37.573971
Фонвизинская,55.8228,37.5881
Бутырская,55.8133,37.6028
Марьина Роща,55.7954,37.6162
Достоевская,55.7816,37.6151
Трубная,55.7688,37.62
Сретенский бульвар,55.7668,37.6392
Чкаловская,55.7565,37.6573
Римская,55.7463,37.6819
Крестьянская Застава,55.7331,37.6673
Дубровка,55.7186,37.676
Кожуховская,55.7074,37.6851
Печатники,55.6934,37.727
Волжская,55.6909,37.753
Люблино,55.6758,37.7618
Братиславская,55.6597,37.7505
Марьино,55.65,37.7431
Борисово,55.6334,37.7436
Шипиловская,55.6211,37.7437
Зябликово,55.6124,37.7453
Савёловская,55.7934,37.587
Петровский парк,55.791867,37.557221
ЦСКА,55.786574,37.533222
Хорошёвская,55.776695,37.519124
Народное Ополчение,55.775701,37.485072
Мнёвники,55.761152,37.47139
Терехово,55.748,37.4596
Кунцевская,55.7288,37.446
Давыдково,55.7152,37.4517
Аминьевская,55.6971,37.4651
Мичуринский проспект,55.6882,37.4853
Проспект Вернадского,55.6784,37.504
Новаторская,55.6699,37.5221
Воронцовская,55.6589,37.5393
Зюзино,55.6558,37.5735
Каховская,55.653,37.5983
Варшавская,55.6533,37.6194
Кленовый бульвар,55.6748806,37.6822694
Нагатинский Затон,55.68442194,37.70356806
Печатники,55.6946,37.7273611
Текстильщики,55.70847,37.72834389
Нижегородская,55.732471,37.728327
Авиамоторная,55.751436,37.716619
Лефортово,55.764698,37.706759
Электрозаводская,55.780292,37.703013
Сокольники,55.79111,37.67889
Рижская,55.793806,37.635889
Марьина Роща,55.7983667,37.6172667
Битцевский парк,55.6004,37.5562
Лесопарковая,55.5821,37.5769
Улица Старокачаловская,55.569,37.5767
Улица Скобелевская,55.5481,37.5546
Бульвар Адмирала Ушакова,55.5455,37.543
Улица Горчакова,55.5418,37.5308
Бунинская аллея,55.538,37.5158
Стахановская,55.727207,37.752257
Окская,55.718623,37.781277
Юго-Восточная,55.705352,37.817998
Косино,55.703423,37.850998
Улица Дмитриевского,55.710176,37.879945
Лухмановская,55.708495,37.900963
Некрасовка,55.702884,37.928207
ЗИЛ,55.696867,37.645092
Крымская,55.689749,37.60885
Академическая,55.687064,37.575663
Вавиловская,55.685022,37.541151
Новаторская,55.671906,37.521755
Университет дружбы народов,55.648045,37.507277
Генерала Тюленева,55.626245,37.486024
Тютчевская,55.61891,37.481101
Корниловская,55.598782,37.479305
Коммунарка,55.574596,37.467965
Новомосковская,55.560597,37.465228
